id,created_at,source_id,source_type,permit_id,permit_type,kind,company_name,kilowatt_value,issue_date,apply_date,latitude,longitude,full_address,city,state,county,postal_code,property_type
00194aaa-0057-43f8-9319-77c08a2054bc,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3317937,ELECTRICAL PMT,SOLAR,ROYALTY CONSTRUCTION,18.0,2026-01-30T00:00:00+00:00,,32.553711,-116.9486409,"9022 SIEMPRE VIVA RD, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
02a12e27-27c4-4de6-a7e6-017d96a55b76,2026-03-16T08:31:29.698968+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3384616,ELECTRICAL PMT,SOLAR,SUNLUX,13.5,2026-03-06T00:00:00+00:00,,33.0252995,-117.0661201,"12235 PRADO WY, SAN DIEGO, SAN DIEGO COUNTY, CA, 92128, US",SAN DIEGO,CA,SAN DIEGO COUNTY,92128.0,Residential
0aaa4e7a-68fb-4cfc-adea-dccf75133151,2026-03-16T08:32:09.844897+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3393330,ELECTRICAL PMT,SOLAR,PEAK ENERGY GROUP,7.48,2026-03-06T00:00:00+00:00,,32.8498254,-117.2172594,"5966 CARNEGIE ST, SAN DIEGO, SAN DIEGO COUNTY, CA, 92122, US",SAN DIEGO,CA,SAN DIEGO COUNTY,92122.0,Residential
25ea802e-cffd-4893-b315-5a64b8490165,2026-03-16T08:29:29.287917+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3319565,ELECTRICAL PMT,SOLAR,CHELSEA INVESTMENT CO.,58.9,2026-02-12T00:00:00+00:00,,32.8202341,-117.1830698,"5257 MOUNT ETNA DR, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Commercial
33d63608-ef98-456c-a9d6-d6a493a05e6a,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3325225,BUILDING PERMIT,SOLAR,AT&T WIRELESS,2.0,2026-02-13T00:00:00+00:00,,32.7345747,-117.2457772,"1424 30TH (SB) ST, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
3ea32d9a-510a-49c7-9eb6-c66deabed493,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3394651,ELECTRICAL PMT,SOLAR,TENCO SOLAR INC,13.08,2026-01-30T00:00:00+00:00,,32.8021719,-117.1287973,"3307 RUFFIN RD, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
4057a636-416b-4ea1-98cc-e9b822bb8542,2026-03-16T08:28:49.139073+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3378218,ELECTRICAL PMT,SOLAR,ALLGIRE GENERAL CONTRACTORS INC.,84.475,2026-02-12T00:00:00+00:00,,32.7496385,-117.1069601,"4025 41ST ST, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Commercial
498a1755-8f65-440f-aaf4-14c1e749b2d2,2026-03-16T08:28:49.139073+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3396077,ELECTRICAL PMT,SOLAR,TENCO SOLAR INC,9.81,2026-02-20T00:00:00+00:00,,32.8023895,-117.1283826,"3315 RUFFIN RD, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
4c053f7a-e578-4e8f-af52-c35395f5ca03,2026-03-15T22:16:19.890933+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3385618,ELECTRICAL PMT,SOLAR,MORROW MEADOWS CORPORATION,474.1,2026-03-11T00:00:00+00:00,,32.7008642,-117.145923,"1865 NATIONAL AV, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Commercial
51d4ba75-3431-4160-9263-8fe36509b73a,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3386068,ELECTRICAL PMT,SOLAR,SOLAR TECH ENERGY SYSTEMS INC,7.39,2026-01-26T00:00:00+00:00,,32.73952,-117.1258428,"3309 HERMAN AV, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
5a23eab8-b8d7-41b0-a101-ee243c05db88,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3394643,ELECTRICAL PMT,SOLAR,TENCO SOLAR INC,13.08,2026-02-10T00:00:00+00:00,,32.8022408,-117.1283848,"3309 RUFFIN RD, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
6a48eadb-e6e5-43d8-99bb-0aa085494f78,2026-03-16T08:31:29.698968+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3394240,ELECTRICAL PMT,SOLAR,HAVEN ENERGY SERVICES INC,15.0,2026-02-02T00:00:00+00:00,,32.7630119,-117.1119712,"4691 EAST MOUNTAIN VIEW DR, SAN DIEGO, SAN DIEGO COUNTY, CA, 92116, US",SAN DIEGO,CA,SAN DIEGO COUNTY,92116.0,Residential
7308f9b0-5888-4efe-a669-0670eea6c1bc,2026-03-16T08:28:49.139073+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3394655,ELECTRICAL PMT,SOLAR,TENCO SOLAR INC,14.17,2026-02-09T00:00:00+00:00,,32.8021291,-117.1288139,"3305 RUFFIN RD, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
78c9462a-b248-440e-939e-24a496a1e08f,2026-03-16T08:32:09.844897+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3370751,ELECTRICAL PMT,SOLAR,ESTEPHANY ARREOLA,6.6,2026-02-19T00:00:00+00:00,,32.7334737,-117.2515629,"4582 ADAIR ST, SAN DIEGO, SAN DIEGO COUNTY, CA, 92107, US",SAN DIEGO,CA,SAN DIEGO COUNTY,92107.0,Residential
99c38ba8-d0d8-4372-911e-00ab8603dec4,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3382685,ELECTRICAL PMT,SOLAR,EW ELECTRICAL SERVICES INC,50.0,2026-01-26T00:00:00+00:00,,32.7305098,-117.1726126,"2548 KETTNER BL, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Commercial
9eae5012-1c4f-4645-b104-6ecfbe8993d5,2026-03-16T08:30:49.540919+00:00,b5c7bbaa-a31e-4d4a-b10e-60fbaea5a9a4,SITE,PMT-3388067,ELECTRICAL PMT,SOLAR,ALEX GUERRA,6.16,2026-03-06T00:00:00+00:00,,32.7522971,-117.1467526,"4096 CENTRE ST, SAN DIEGO, SAN DIEGO COUNTY, CA, US",SAN DIEGO,CA,SAN DIEGO COUNTY,,Residential
